Department Name,Date,Number of Sales
Baby & Kids,2023-04-11,1952
Baby & Kids,2023-05-27,3836
Electronics,2023-07-22,2259
Beauty & Personal Care,2023-06-06,218
Health & Beauty,2023-07-23,922
Pet Supplies,2023-11-29,3928
Baby & Kids,2023-05-02,3070
Sports,2023-08-08,4224
Musical Instruments,2023-09-27,2259
Travel,2023-01-15,3563
Jewelry,2023-11-09,4098
Office Supplies,2023-06-24,2171
Movies & TV,2023-05-16,923
Clothing,2023-10-15,50
Movies & TV,2023-07-17,1771
Movies & TV,2023-05-08,1197
Appliances,2023-04-24,793
Books,2023-08-08,3320
Furniture,2023-03-30,482
Musical Instruments,2023-12-22,671
Computer & Tablets,2023-03-20,3777
Sports,2023-04-13,3411
Travel,2023-07-12,3709
Video Games,2023-04-20,4082
Toys,2023-05-12,804
Home & Garden,2023-05-11,1930
Toys,2023-04-11,752
Food & Beverage,2023-03-02,3409
Musical Instruments,2023-08-05,3062
Toys,2023-12-29,2502
Watches,2023-08-21,2119
Industrial & Scientific,2023-03-12,1061
Garden & Outdoor,2023-08-02,391
Industrial & Scientific,2023-07-11,1636
Home & Garden,2023-08-15,701
Software,2023-01-20,1813
Software,2023-07-22,4481
Industrial & Scientific,2023-09-19,529
Beauty & Personal Care,2023-02-18,1425
Office Supplies,2023-12-16,713
Jewelry,2023-12-07,847
Home & Garden,2023-08-06,2711
Office Supplies,2023-07-08,3564
Pharmacy,2023-12-04,4357
Furniture,2023-02-27,1256
Shoes,2023-11-05,3616
Cell Phones,2023-07-24,2064
Video Games,2023-12-22,319
Beauty & Personal Care,2023-11-28,4178
Software,2023-10-16,3155
Pharmacy,2023-06-03,2365
Software,2023-10-06,1783
Toys,2023-10-07,2092
Automotive,2023-01-07,214
Toys,2023-03-21,398
Electronics,2023-05-30,4070
Jewelry,2023-01-11,392
Software,2023-01-25,434
Baby & Kids,2023-11-04,4244
Travel,2023-09-23,3485
Tools & Hardware,2023-10-24,1352
Pet Supplies,2023-06-19,1264
Software,2023-03-13,4331
Luggage,2023-03-11,1731
Appliances,2023-09-02,3108
Video Games,2023-06-25,4593
Watches,2023-11-02,4659
Electronics,2023-04-18,4926
Office Supplies,2023-10-29,4190
Video Games,2023-05-14,89
Food & Beverage,2023-12-09,539
Shoes,2023-02-22,4379
Electronics,2023-02-10,1323
Health & Beauty,2023-04-22,695
Baby & Kids,2023-12-02,2987
Health & Beauty,2023-01-15,4368
Industrial & Scientific,2023-03-25,4783
Health & Beauty,2023-05-04,2057
Luggage,2023-03-07,2893
Clothing,2023-06-18,699
Garden & Outdoor,2023-04-16,548
Art & Crafts,2023-11-30,2350
Video Games,2023-01-10,2098
Art & Crafts,2023-05-31,2851
Pharmacy,2023-09-18,2938
Office Supplies,2023-07-25,4096
Electronics,2023-07-11,4518
Movies & TV,2023-07-26,3987
Art & Crafts,2023-12-03,3375
Baby & Kids,2023-11-03,3125
Cell Phones,2023-06-02,3772
Books,2023-07-10,2549
Video Games,2023-09-27,979
Garden & Outdoor,2023-09-01,2726
Computer & Tablets,2023-11-21,331
Musical Instruments,2023-03-22,2316
Health & Beauty,2023-11-24,2366
Home & Garden,2023-11-27,2962
Office Supplies,2023-09-30,4341
Travel,2023-04-20,3134
Jewelry,2023-09-13,3098
Luggage,2023-04-11,4810
Video Games,2023-07-02,1850
Jewelry,2023-03-29,1513
Movies & TV,2023-06-24,974
Sports,2023-03-26,879
Clothing,2023-06-13,1113
Electronics,2023-10-16,3293
Electronics,2023-09-17,2067
Pet Supplies,2023-02-23,2755
Home & Garden,2023-03-01,3539
Automotive,2023-06-04,3963
Clothing,2023-07-13,3701
Travel,2023-07-21,523
Movies & TV,2023-06-30,2656
Electronics,2023-11-01,249
Home & Garden,2023-03-14,2282
Industrial & Scientific,2023-08-19,2757
Toys,2023-09-19,4768
Software,2023-02-09,2658
Tools & Hardware,2023-09-23,236
Computer & Tablets,2023-02-16,4237
Pharmacy,2023-05-19,1650
Tools & Hardware,2023-09-11,3028
Clothing,2023-12-09,735
Watches,2023-06-03,583
Books,2023-02-02,3498
Jewelry,2023-11-27,1582
Video Games,2023-09-01,4881
Toys,2023-09-27,4101
Pharmacy,2023-05-18,2632
Food & Beverage,2023-06-03,4746
Beauty & Personal Care,2023-11-22,873
Watches,2023-11-20,491
Books,2023-04-08,3069
Office Supplies,2023-06-02,2202
Jewelry,2023-05-06,4744
Health & Beauty,2023-01-01,442
Computer & Tablets,2023-12-30,1748
Toys,2023-11-09,2925
Video Games,2023-03-13,1431
Pet Supplies,2023-05-04,2031
Books,2023-11-25,157
Books,2023-02-17,4069
Health & Beauty,2023-09-01,394
Health & Beauty,2023-06-22,4684
Appliances,2023-01-07,1817
Food & Beverage,2023-03-20,1513
Food & Beverage,2023-02-03,4595
Automotive,2023-01-12,2853
Music,2023-12-17,4267
Travel,2023-02-05,1836
Art & Crafts,2023-11-01,2083
Tools & Hardware,2023-09-26,4831
Pharmacy,2023-09-13,4037
Appliances,2023-05-09,3522
Music,2023-03-27,3110
Food & Beverage,2023-10-01,1366
Appliances,2023-11-22,1290
Sports,2023-12-15,2977
Luggage,2023-09-15,177
Watches,2023-01-01,2361
Music,2023-01-13,2240
Travel,2023-03-03,3637
Food & Beverage,2023-08-20,1174
Office Supplies,2023-11-01,4544
Beauty & Personal Care,2023-06-24,1343
Garden & Outdoor,2023-11-25,4757
Toys,2023-02-26,4431
Art & Crafts,2023-10-28,2293
Video Games,2023-07-18,4438
Beauty & Personal Care,2023-02-24,4113
Health & Beauty,2023-03-08,4365
Furniture,2023-08-30,2703
Art & Crafts,2023-03-24,3096
Office Supplies,2023-06-13,3210
Pet Supplies,2023-04-19,62
Automotive,2023-08-27,576
Pharmacy,2023-12-31,3134
Shoes,2023-12-02,953
Jewelry,2023-09-29,2307
Tools & Hardware,2023-05-07,2793
Video Games,2023-11-10,4594
Clothing,2023-05-08,1583
Art & Crafts,2023-06-30,2608
Clothing,2023-01-09,4747
Automotive,2023-07-17,2136
Watches,2023-04-18,4524
Luggage,2023-11-14,1844
Sports,2023-01-05,2737
Computer & Tablets,2023-05-19,54
Watches,2023-08-21,3545
Industrial & Scientific,2023-12-02,2567
Beauty & Personal Care,2023-08-22,170
Pharmacy,2023-09-08,1363
Watches,2023-06-15,2073
Furniture,2023-12-23,3947
Music,2023-07-03,2227
Industrial & Scientific,2023-06-09,1861
Cell Phones,2023-09-12,1379
Movies & TV,2023-09-17,2874
Music,2023-03-23,3020
Watches,2023-07-14,3435
Home & Garden,2023-09-14,3339
Luggage,2023-07-05,4372
Health & Beauty,2023-10-09,3474
Toys,2023-07-19,864
Travel,2023-12-31,3425
Furniture,2023-03-13,3626
Beauty & Personal Care,2023-03-02,1220
Movies & TV,2023-02-19,2611
Pet Supplies,2023-07-20,783
Toys,2023-05-02,4133
Appliances,2023-11-10,1934
Tools & Hardware,2023-04-09,4789
Sports,2023-01-08,2954
Shoes,2023-06-04,1205
Watches,2023-08-06,3514
Baby & Kids,2023-06-07,3551
Appliances,2023-12-13,1776
Tools & Hardware,2023-11-20,1267
Software,2023-06-29,1280
Software,2023-09-17,2378
Furniture,2023-07-07,4656
Software,2023-09-12,3317
Garden & Outdoor,2023-04-03,4493
Automotive,2023-02-19,2827
Movies & TV,2023-03-07,160
Art & Crafts,2023-12-27,4210
Watches,2023-01-03,4070
Music,2023-09-17,4968
Appliances,2023-04-08,3878
Sports,2023-10-18,3678
Electronics,2023-01-12,2494
Computer & Tablets,2023-09-03,4118
Food & Beverage,2023-02-15,3324
Computer & Tablets,2023-09-21,2084
Sports,2023-09-17,1387
Industrial & Scientific,2023-12-02,3557
Sports,2023-02-27,4695
Shoes,2023-05-28,3805
Food & Beverage,2023-05-06,885
Cell Phones,2023-11-24,1830
Travel,2023-11-22,3318
Art & Crafts,2023-02-13,2908
Jewelry,2023-07-12,1157
Toys,2023-05-26,2677
Home & Garden,2023-03-21,2732
Industrial & Scientific,2023-01-27,229
Tools & Hardware,2023-06-14,315
Industrial & Scientific,2023-02-26,869
Art & Crafts,2023-02-25,609
Home & Garden,2023-11-07,2602
Video Games,2023-11-14,1021
Software,2023-12-15,4768
Musical Instruments,2023-12-13,1126
Garden & Outdoor,2023-02-08,364
Books,2023-07-10,2556
Movies & TV,2023-03-18,1439
Industrial & Scientific,2023-03-16,1095
Software,2023-02-05,2669
Industrial & Scientific,2023-12-17,55
Automotive,2023-08-20,1194
Art & Crafts,2023-06-02,4783
Furniture,2023-11-17,4603
Pet Supplies,2023-07-14,4048
Music,2023-10-09,2444
Movies & TV,2023-04-06,1338
Beauty & Personal Care,2023-05-17,3772
Beauty & Personal Care,2023-09-21,919
Electronics,2023-10-14,3449
Computer & Tablets,2023-04-08,4455
Automotive,2023-10-26,482
Toys,2023-04-30,852
Office Supplies,2023-03-30,4014
Clothing,2023-10-17,4561
Baby & Kids,2023-05-31,65
Tools & Hardware,2023-08-17,819
Baby & Kids,2023-02-03,3054
Food & Beverage,2023-03-15,1778
Musical Instruments,2023-02-25,4573
Food & Beverage,2023-01-09,948
Tools & Hardware,2023-04-20,4851
Industrial & Scientific,2023-10-24,1753
Baby & Kids,2023-03-23,2870
Jewelry,2023-10-30,4759
Luggage,2023-09-14,4686
Pet Supplies,2023-06-30,2695
Office Supplies,2023-03-12,3237
Books,2023-04-02,3325
Art & Crafts,2023-07-06,4598
Luggage,2023-07-02,1293
Beauty & Personal Care,2023-06-01,3034
Jewelry,2023-08-25,331
Computer & Tablets,2023-05-27,617
Home & Garden,2023-11-13,4724
Books,2023-11-17,4714
Computer & Tablets,2023-08-23,4011
Food & Beverage,2023-06-14,1192
Music,2023-11-18,1823
Travel,2023-03-14,2770
Software,2023-03-19,3471
Computer & Tablets,2023-01-27,1529
Clothing,2023-12-09,4877
Office Supplies,2023-03-21,263
Books,2023-11-25,992
Food & Beverage,2023-07-02,3123
Luggage,2023-12-29,4357
Pet Supplies,2023-07-30,1059
Garden & Outdoor,2023-06-18,3860
Health & Beauty,2023-12-17,2835
Music,2023-02-26,989
Pet Supplies,2023-01-05,4267
Travel,2023-06-17,2698
Beauty & Personal Care,2023-10-23,4125
Baby & Kids,2023-12-30,4532
Movies & TV,2023-05-19,2133
Baby & Kids,2023-10-26,4180
Books,2023-06-01,2784
Clothing,2023-04-23,3503
Movies & TV,2023-01-09,1222
Furniture,2023-07-10,3703
Musical Instruments,2023-01-05,1748
Industrial & Scientific,2023-07-18,847
Jewelry,2023-12-22,3319
Shoes,2023-02-14,1429
Pharmacy,2023-01-16,4402
Shoes,2023-06-04,4368
Toys,2023-08-14,3040
Music,2023-08-07,3090
Computer & Tablets,2023-10-22,3366
Watches,2023-08-07,2086
Home & Garden,2023-09-13,2611
Toys,2023-05-24,516
Home & Garden,2023-07-23,1891
Music,2023-10-23,2565
Tools & Hardware,2023-10-29,4988
Art & Crafts,2023-10-12,2891
Jewelry,2023-02-12,3539
Pharmacy,2023-04-01,2644
Garden & Outdoor,2023-02-04,3241
Garden & Outdoor,2023-07-20,278
Furniture,2023-08-18,1923
Appliances,2023-08-20,4115
Beauty & Personal Care,2023-03-17,3916
Luggage,2023-06-26,782
Watches,2023-10-06,2842
Travel,2023-02-08,1232
Art & Crafts,2023-01-11,4272
Home & Garden,2023-08-26,3444
Pharmacy,2023-11-03,2603
Furniture,2023-01-10,4564
Health & Beauty,2023-07-08,1744
Shoes,2023-11-26,606
Books,2023-02-26,3247
Home & Garden,2023-10-09,4333
Baby & Kids,2023-11-20,4985
Furniture,2023-09-03,893
Clothing,2023-03-13,952
Software,2023-05-14,861
Sports,2023-04-27,3940
Clothing,2023-04-01,4529
Clothing,2023-10-06,201
Music,2023-11-28,383
Movies & TV,2023-11-02,1198
Shoes,2023-04-07,1557
Luggage,2023-07-11,1318
Luggage,2023-03-08,3442
Health & Beauty,2023-09-01,2282
Clothing,2023-05-23,1914
Books,2023-09-27,3556
Furniture,2023-08-07,3045
Electronics,2023-04-06,578
Tools & Hardware,2023-05-22,3801
Music,2023-07-17,3272
Beauty & Personal Care,2023-07-10,1756
Sports,2023-11-20,1161
Travel,2023-04-15,967
Software,2023-12-26,2686
Beauty & Personal Care,2023-04-22,3037
Luggage,2023-09-17,3416
Industrial & Scientific,2023-12-26,4241
Office Supplies,2023-01-27,4325
Luggage,2023-10-05,3506
Automotive,2023-04-16,208
Art & Crafts,2023-01-19,3361
Office Supplies,2023-03-26,197
Video Games,2023-01-14,1713
Toys,2023-09-26,3950
Movies & TV,2023-06-18,162
Pharmacy,2023-07-21,1548
Office Supplies,2023-01-17,1591
Sports,2023-11-15,1308
Music,2023-04-16,4423
Home & Garden,2023-06-17,3780
Health & Beauty,2023-04-15,306
Musical Instruments,2023-06-13,1411
Health & Beauty,2023-02-23,4749
Sports,2023-11-23,2611
Watches,2023-03-26,638
Art & Crafts,2023-09-04,2951
Beauty & Personal Care,2023-10-28,5000
Toys,2023-12-26,1984
Shoes,2023-05-18,1575
Industrial & Scientific,2023-12-09,3783
Automotive,2023-12-12,4470
Home & Garden,2023-09-06,3416
Watches,2023-05-15,1950
Luggage,2023-08-26,1143
Toys,2023-09-09,1493
Video Games,2023-08-18,4621
Travel,2023-02-04,69
Pharmacy,2023-08-20,2567
Pet Supplies,2023-03-20,2572
Books,2023-03-10,187
Jewelry,2023-03-30,67
Jewelry,2023-10-27,2590
Art & Crafts,2023-07-06,2943
Movies & TV,2023-02-16,1752
Shoes,2023-11-20,1786
Software,2023-10-12,1391
Furniture,2023-05-20,4253
Beauty & Personal Care,2023-09-02,1708
Travel,2023-10-03,257
Automotive,2023-01-11,691
Health & Beauty,2023-02-27,1908
Tools & Hardware,2023-10-22,515
Video Games,2023-10-01,134
Shoes,2023-05-04,3128
Musical Instruments,2023-06-13,4783
Office Supplies,2023-08-22,4444
Automotive,2023-08-16,1803
Industrial & Scientific,2023-07-20,502
Computer & Tablets,2023-01-12,1454
Baby & Kids,2023-06-29,4592
Movies & TV,2023-06-05,3017
Home & Garden,2023-04-04,452
Luggage,2023-04-11,3069
Software,2023-03-24,1269
Musical Instruments,2023-08-08,2622
Appliances,2023-12-03,230
Food & Beverage,2023-02-11,2768
Computer & Tablets,2023-01-28,2274
Music,2023-07-06,3769
Pet Supplies,2023-10-23,3740
Luggage,2023-09-21,885
Industrial & Scientific,2023-02-28,1140
Appliances,2023-05-11,1002
Software,2023-09-06,4368
Pet Supplies,2023-11-19,3490
Health & Beauty,2023-01-05,2081
Garden & Outdoor,2023-07-29,1870
Home & Garden,2023-07-19,1850
Beauty & Personal Care,2023-09-30,3353
Automotive,2023-03-09,4562
Video Games,2023-07-21,3170
Health & Beauty,2023-07-21,4167
Cell Phones,2023-02-10,677
Computer & Tablets,2023-08-29,3216
Music,2023-01-05,4353
Movies & TV,2023-07-02,3830
Art & Crafts,2023-10-14,4136
Tools & Hardware,2023-11-14,1408
Computer & Tablets,2023-10-13,1079
Pharmacy,2023-05-27,4019
Luggage,2023-12-14,3152
Office Supplies,2023-06-21,1921
Furniture,2023-09-29,2450
Automotive,2023-02-15,4246
Art & Crafts,2023-06-09,1771
Toys,2023-07-12,393
Appliances,2023-02-25,1513
Tools & Hardware,2023-12-31,3451
Jewelry,2023-02-23,4969
Movies & TV,2023-02-21,2632
Watches,2023-06-16,3350
Furniture,2023-09-30,2055
Furniture,2023-12-05,1054
Sports,2023-09-07,211
Office Supplies,2023-01-27,3614
Office Supplies,2023-10-16,2568
Pharmacy,2023-08-25,3475
Software,2023-10-06,1750
Cell Phones,2023-12-12,3764
Computer & Tablets,2023-10-10,2480
Garden & Outdoor,2023-05-31,361
Food & Beverage,2023-05-18,4805
Electronics,2023-06-04,643
Sports,2023-05-27,632
Watches,2023-12-22,3042
Home & Garden,2023-01-20,3471
Tools & Hardware,2023-08-01,2095
Food & Beverage,2023-12-31,2681
Software,2023-05-31,1318
Sports,2023-08-23,1576
Furniture,2023-06-13,2977
Furniture,2023-06-16,65
Shoes,2023-08-01,3816
Appliances,2023-07-04,961
Books,2023-03-12,307
Garden & Outdoor,2023-08-16,4964
Health & Beauty,2023-05-31,4706
Baby & Kids,2023-06-15,4573
Industrial & Scientific,2023-05-09,4345
Electronics,2023-11-22,3090
Music,2023-05-29,1733
Pharmacy,2023-07-19,3990
Industrial & Scientific,2023-06-14,2145
Clothing,2023-10-16,235
Baby & Kids,2023-03-23,4212
Movies & TV,2023-04-15,2655
Health & Beauty,2023-06-17,4809
Video Games,2023-07-20,787
Food & Beverage,2023-02-15,201
Software,2023-12-24,1248
Electronics,2023-12-25,4831
Pet Supplies,2023-08-18,2559
Baby & Kids,2023-06-17,1955
Office Supplies,2023-12-24,2569
Video Games,2023-03-04,3222
Furniture,2023-01-21,1085
Shoes,2023-08-11,3189
Pharmacy,2023-03-26,845
Home & Garden,2023-02-11,1828
Computer & Tablets,2023-10-27,3497
Cell Phones,2023-03-13,714
Electronics,2023-01-01,759
Baby & Kids,2023-01-13,4675
Toys,2023-10-01,1533
Sports,2023-03-25,4854
Automotive,2023-11-17,1793
Pharmacy,2023-02-19,794
Video Games,2023-01-08,1873
Baby & Kids,2023-02-05,303
Luggage,2023-11-21,3784
Toys,2023-04-04,635
Garden & Outdoor,2023-01-30,4059
Luggage,2023-08-17,2294
Jewelry,2023-02-08,1787
Movies & TV,2023-07-19,2073
Movies & TV,2023-02-06,4525
Industrial & Scientific,2023-05-01,3973
Music,2023-05-19,1620
Sports,2023-11-27,2065
Baby & Kids,2023-02-13,1864
Video Games,2023-07-02,1772
Computer & Tablets,2023-03-03,4938
Garden & Outdoor,2023-01-28,4148
Cell Phones,2023-12-01,421
Beauty & Personal Care,2023-08-24,911
Shoes,2023-04-12,4957
Computer & Tablets,2023-01-01,2390
Pet Supplies,2023-10-12,702
Computer & Tablets,2023-12-28,3676
Books,2023-07-22,2428
Software,2023-12-03,4830
Movies & TV,2023-12-02,3955
Pet Supplies,2023-06-14,3500
Watches,2023-06-29,4125
Sports,2023-09-07,2195
Musical Instruments,2023-11-16,2467
Watches,2023-10-29,4230
Tools & Hardware,2023-07-23,2200
Clothing,2023-09-28,3823
Cell Phones,2023-10-02,4748
Music,2023-12-04,762
Watches,2023-06-26,4588
Clothing,2023-04-05,3931
Garden & Outdoor,2023-08-31,1450
Jewelry,2023-03-02,770
Music,2023-06-12,1598
Baby & Kids,2023-05-25,1116
Musical Instruments,2023-08-11,2370
Clothing,2023-08-21,2842
Industrial & Scientific,2023-07-29,4100
Art & Crafts,2023-09-19,4314
Industrial & Scientific,2023-01-14,4220
Sports,2023-01-20,3928
Industrial & Scientific,2023-08-14,4024
Travel,2023-11-26,1813
Electronics,2023-12-17,4995
Appliances,2023-03-09,4950
Sports,2023-07-12,430
Music,2023-07-29,668
Books,2023-06-21,1657
Sports,2023-09-04,4016
Automotive,2023-10-04,3929
Tools & Hardware,2023-01-07,3816
Toys,2023-07-14,3596
Industrial & Scientific,2023-10-28,4510
Pharmacy,2023-09-15,3420
Electronics,2023-01-03,3500
Furniture,2023-06-08,1919
Toys,2023-11-26,88
Musical Instruments,2023-05-21,2179
Tools & Hardware,2023-06-23,3892
Baby & Kids,2023-01-12,468
Furniture,2023-12-22,2024
Automotive,2023-06-28,1877
Video Games,2023-08-30,1144
Furniture,2023-09-02,2325
Electronics,2023-11-03,3577
Garden & Outdoor,2023-11-05,4208
Shoes,2023-11-20,68
Books,2023-10-08,1252
Computer & Tablets,2023-06-27,3388
Food & Beverage,2023-11-18,1535
Musical Instruments,2023-09-27,2754
Pharmacy,2023-02-24,4058
Luggage,2023-01-24,709
Musical Instruments,2023-10-13,3808
Art & Crafts,2023-11-28,448
Software,2023-07-24,4134
Garden & Outdoor,2023-12-24,4826
Toys,2023-08-07,2021
Toys,2023-07-27,2247
Clothing,2023-09-21,975
Jewelry,2023-10-04,1004
Baby & Kids,2023-07-10,2570
Sports,2023-06-07,2949
Industrial & Scientific,2023-11-19,4323
Office Supplies,2023-03-13,880
Luggage,2023-01-11,1089
Beauty & Personal Care,2023-01-04,2666
Video Games,2023-02-10,1837
Video Games,2023-02-04,1286
Clothing,2023-08-09,2217
Cell Phones,2023-11-04,3761
Watches,2023-03-24,4863
Travel,2023-06-19,1697
Sports,2023-09-20,3389
Home & Garden,2023-11-03,209
Beauty & Personal Care,2023-11-07,261
Pharmacy,2023-11-01,1171
Home & Garden,2023-01-30,3378
Video Games,2023-07-17,1307
Computer & Tablets,2023-10-23,2963
Clothing,2023-04-15,3186
Art & Crafts,2023-01-02,1261
Beauty & Personal Care,2023-12-25,1730
Software,2023-03-19,2319
Industrial & Scientific,2023-05-30,4771
Industrial & Scientific,2023-03-01,2421
Sports,2023-08-18,4580
Books,2023-01-31,3590
Cell Phones,2023-07-09,2654
Pharmacy,2023-05-01,217
Travel,2023-12-25,1815
Baby & Kids,2023-02-15,1282
Health & Beauty,2023-12-11,717
Musical Instruments,2023-05-04,298
Furniture,2023-08-14,2342
Appliances,2023-03-27,799
Clothing,2023-09-16,572
Furniture,2023-05-12,276
Sports,2023-09-10,1372
Pharmacy,2023-06-27,196
Food & Beverage,2023-11-11,1705
Toys,2023-02-21,1108
Luggage,2023-12-22,1007
Musical Instruments,2023-11-21,2532
Food & Beverage,2023-08-28,3925
Automotive,2023-12-04,3998
Music,2023-05-02,4468
Electronics,2023-05-02,2020
Books,2023-02-27,182
Electronics,2023-12-29,4635
Pharmacy,2023-05-09,3046
Shoes,2023-09-08,3351
Industrial & Scientific,2023-09-29,1296
Tools & Hardware,2023-03-15,1589
Movies & TV,2023-02-05,2946
Home & Garden,2023-01-22,617
Musical Instruments,2023-11-07,1269
Books,2023-03-05,1904
Music,2023-07-06,4332
Computer & Tablets,2023-07-07,3237
Furniture,2023-04-16,4935
Movies & TV,2023-01-28,1079
Garden & Outdoor,2023-05-12,4905
Books,2023-02-23,1404
Books,2023-09-28,4602
Cell Phones,2023-09-18,3865
Jewelry,2023-08-11,4903
Electronics,2023-08-23,1639
Toys,2023-01-04,1917
Garden & Outdoor,2023-12-04,204
Furniture,2023-09-13,2338
Shoes,2023-03-12,4168
Computer & Tablets,2023-02-08,3716
Office Supplies,2023-09-19,4192
Video Games,2023-04-10,4260
Computer & Tablets,2023-06-08,3632
Cell Phones,2023-11-29,4289
Art & Crafts,2023-02-13,4412
Jewelry,2023-08-07,4159
Cell Phones,2023-04-09,754
Musical Instruments,2023-02-19,2391
Beauty & Personal Care,2023-01-02,3891
Pet Supplies,2023-06-28,1160
Tools & Hardware,2023-07-22,3445
Watches,2023-05-06,4224
Art & Crafts,2023-07-22,1961
Sports,2023-09-01,1823
Travel,2023-12-11,4324
Home & Garden,2023-06-18,3278
Appliances,2023-09-11,2517
Travel,2023-12-26,1841
Garden & Outdoor,2023-11-22,2468
Luggage,2023-09-12,2439
Art & Crafts,2023-07-05,1531
Pharmacy,2023-02-13,1839
Musical Instruments,2023-03-12,168
Watches,2023-10-19,3143
Home & Garden,2023-04-04,4858
Pet Supplies,2023-11-17,327
Movies & TV,2023-05-03,1399
Art & Crafts,2023-04-01,2225
Computer & Tablets,2023-04-07,1303
Garden & Outdoor,2023-04-02,4928
Books,2023-10-02,3534
Automotive,2023-03-14,3085
Pet Supplies,2023-06-12,2111
Books,2023-11-08,1062
Cell Phones,2023-11-30,660
Pharmacy,2023-12-11,2118
Home & Garden,2023-06-17,4309
Tools & Hardware,2023-10-08,3341
Toys,2023-12-20,4985
Music,2023-03-30,2011
Sports,2023-02-28,1102
Sports,2023-04-05,4016
Books,2023-07-25,132
Jewelry,2023-05-03,2300
Shoes,2023-02-08,787
Music,2023-07-08,4216
Toys,2023-05-03,275
Watches,2023-11-16,4141
Garden & Outdoor,2023-12-14,83
Sports,2023-01-22,3801
Shoes,2023-10-25,3433
Beauty & Personal Care,2023-01-12,618
Books,2023-09-05,4912
Home & Garden,2023-05-28,1392
Beauty & Personal Care,2023-04-19,4509
Movies & TV,2023-12-30,4572
Luggage,2023-03-30,3122
Jewelry,2023-05-28,3988
Books,2023-10-02,2590
Electronics,2023-10-30,4430
Video Games,2023-09-02,2106
Shoes,2023-12-02,1223
Art & Crafts,2023-08-02,4569
Pet Supplies,2023-10-27,4147
Watches,2023-03-21,1441
Pharmacy,2023-06-05,3127
Office Supplies,2023-11-26,1246
Food & Beverage,2023-10-18,3001
Jewelry,2023-12-18,1689
Cell Phones,2023-10-16,2971
Appliances,2023-02-20,2742
Garden & Outdoor,2023-10-17,3555
Travel,2023-11-12,4211
Music,2023-08-21,1284
Luggage,2023-01-12,2547
Cell Phones,2023-08-26,229
Pet Supplies,2023-03-14,2751
Art & Crafts,2023-08-23,4754
Watches,2023-05-09,3492
Travel,2023-01-17,437
Watches,2023-01-10,2707
Garden & Outdoor,2023-03-20,915
Sports,2023-06-04,2988
Furniture,2023-09-20,4954
Software,2023-08-25,4941
Video Games,2023-11-06,1209
Cell Phones,2023-04-20,4903
Beauty & Personal Care,2023-02-14,4738
Pet Supplies,2023-02-27,4765
Sports,2023-10-14,2511
Furniture,2023-05-07,3777
Video Games,2023-07-08,3447
Tools & Hardware,2023-05-30,2485
Health & Beauty,2023-12-23,2571
Toys,2023-09-30,1878
Beauty & Personal Care,2023-07-22,4792
Art & Crafts,2023-03-01,2464
Computer & Tablets,2023-09-27,4972
Appliances,2023-07-28,2223
Books,2023-01-08,1954
Musical Instruments,2023-10-21,2742
Watches,2023-07-13,3537
Toys,2023-05-13,4016
Office Supplies,2023-10-25,3815
Electronics,2023-01-17,911
Industrial & Scientific,2023-08-11,4340
Pharmacy,2023-08-10,1967
Health & Beauty,2023-03-02,2985
Appliances,2023-11-17,4299
Garden & Outdoor,2023-08-02,1299
Clothing,2023-11-26,1000
Art & Crafts,2023-03-10,66
Clothing,2023-02-26,2485
Beauty & Personal Care,2023-09-17,954
Baby & Kids,2023-06-03,4703
Pharmacy,2023-10-27,3889
Cell Phones,2023-01-24,1241
Shoes,2023-03-10,823
Furniture,2023-08-18,657
Musical Instruments,2023-09-18,3916
Electronics,2023-05-18,944
Computer & Tablets,2023-07-19,2478
Cell Phones,2023-04-27,4175
Computer & Tablets,2023-11-28,1193
Health & Beauty,2023-05-08,4593
Video Games,2023-04-20,4501
Beauty & Personal Care,2023-09-14,3793
Art & Crafts,2023-05-06,1896
Electronics,2023-09-22,3493
Travel,2023-06-01,4975
Computer & Tablets,2023-05-06,2814
Pet Supplies,2023-11-15,999
Furniture,2023-07-09,4949
Garden & Outdoor,2023-12-26,4092
Appliances,2023-12-02,346
Furniture,2023-07-25,2320
Watches,2023-10-30,1634
Toys,2023-04-20,2112
Clothing,2023-06-29,1047
Music,2023-11-21,1615
Pet Supplies,2023-01-02,1240
Beauty & Personal Care,2023-01-04,387
Pharmacy,2023-08-26,3756
Beauty & Personal Care,2023-09-11,3520
Tools & Hardware,2023-10-03,3543
Electronics,2023-12-03,4247
Musical Instruments,2023-01-25,430
Sports,2023-05-17,559
Shoes,2023-03-31,517
Computer & Tablets,2023-12-08,1129
Sports,2023-10-05,384
Furniture,2023-12-21,2481
Health & Beauty,2023-09-18,2041
Art & Crafts,2023-10-23,478
Food & Beverage,2023-10-28,1257
Art & Crafts,2023-09-28,3022
Art & Crafts,2023-05-20,413
Industrial & Scientific,2023-06-07,3808
Shoes,2023-06-01,3411
Musical Instruments,2023-10-04,857
Furniture,2023-07-09,339
Beauty & Personal Care,2023-01-12,3239
Toys,2023-01-27,1264
Toys,2023-07-29,186
Garden & Outdoor,2023-12-18,60
Books,2023-03-08,4486
Food & Beverage,2023-12-05,60
Electronics,2023-04-06,4402
Health & Beauty,2023-07-29,3640
Industrial & Scientific,2023-11-25,3174
Jewelry,2023-08-06,832
Pharmacy,2023-03-03,3981
Automotive,2023-04-24,2932
Pet Supplies,2023-11-06,4201
